Craton,REFERENCE,SAMPLE_ID,ROCK_NAME,LATITUDE,LONGITUDE,MIN_AGE,AGE,MAX_AGE,C_MIN_AGE,C_AGE,C_MAX_AGE,Arc_probability3,SIO2,TIO2,AL2O3,FEOT,MNO,MGO,CAO,NA2O,K2O,P2O5,SC,V,CR,CO,NI,CU,ZN,GA,RB,SR,Y,ZR,NB,CS,BA,LA,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,HF,TA,PB,TH,U
Superior,"GEOCHEMICAL DIVERSITY IN OCEANIC KOMATIITES AND BASALTS FROM THE LATE ARCHEAN WAWA GREENSTONE BELTS, SUPERIOR PROVINCE, CANADA: TRACE ELEMENT AND ND ISOTOPE EVIDENCE FOR A HETEROGENEOUS MANTLE",SC21-2,BASALT,48.8,-87.27,2500,3175,3850,2700,2725,2750,0.003608743,52.3,0.33,14.8,9.27,0.23,5.16,9.93,2.15,0.08,0.12,43,282,467,,125,,,,,,28.8,91,5.15,,,5.22,14.32,2.11,10.17,3.47,1.03,4.45,0.71,5.15,1.03,3.13,0.48,1.74,0.44,2.44,0.28,,0.57,
Superior,"GEOCHEMICAL DIVERSITY IN OCEANIC KOMATIITES AND BASALTS FROM THE LATE ARCHEAN WAWA GREENSTONE BELTS, SUPERIOR PROVINCE, CANADA: TRACE ELEMENT AND ND ISOTOPE EVIDENCE FOR A HETEROGENEOUS MANTLE",SC-23,BASALT,48.8,-87.27,2500,3175,3850,2700,2725,2750,0.00406323,50,0.33,15.7,9.63,0.25,4.03,11.4,2.67,0.16,0.07,43,273,434,,152,,,,,,21.7,55,2.99,,,3.01,8.25,1.26,6.27,2.28,0.78,2.9,0.46,3.29,0.68,2.25,0.34,2.12,0.32,1.49,0.16,,0.33,
Superior,"GEOCHEMICAL DIVERSITY IN OCEANIC KOMATIITES AND BASALTS FROM THE LATE ARCHEAN WAWA GREENSTONE BELTS, SUPERIOR PROVINCE, CANADA: TRACE ELEMENT AND ND ISOTOPE EVIDENCE FOR A HETEROGENEOUS MANTLE",SC95-106,BASALT,48.8,-87.27,2500,3175,3850,2700,2725,2750,0.011927817,49.53,0.33,14.77,12.92,0.24,6.67,10.36,2.38,0.52,0.08,51,371,627,58,133,,,,,,24.6,66,3.15,,,3.43,9.24,1.34,8.17,2.69,0.961,3.64,0.627,4.45,0.991,2.94,0.435,2.84,0.415,2.22,0.13,,0.36,
Superior,"GEOCHEMICAL DIVERSITY IN OCEANIC KOMATIITES AND BASALTS FROM THE LATE ARCHEAN WAWA GREENSTONE BELTS, SUPERIOR PROVINCE, CANADA: TRACE ELEMENT AND ND ISOTOPE EVIDENCE FOR A HETEROGENEOUS MANTLE",SC95-114,BASALT,48.8,-87.27,2500,3175,3850,2700,2725,2750,0.018614853,50.21,0.33,14.28,13.82,0.21,5.42,11.47,1.64,0.03,0.11,49,373,82,55,71,,,,,,31.5,91,4.33,,,5.85,15.43,2.33,10.39,3.26,1.262,4.8,0.837,5.51,1.251,3.6,0.544,3.46,0.5,2.57,0.27,,0.58,
Superior,"GEOCHEMICAL DIVERSITY IN OCEANIC KOMATIITES AND BASALTS FROM THE LATE ARCHEAN WAWA GREENSTONE BELTS, SUPERIOR PROVINCE, CANADA: TRACE ELEMENT AND ND ISOTOPE EVIDENCE FOR A HETEROGENEOUS MANTLE",SC95-115,BASALT,48.8,-87.27,2500,3175,3850,2700,2725,2750,0.004459834,51.59,0.33,13.96,12.56,0.21,4.86,10.91,2.86,0.26,0.11,53,390,88,55,73,,,,,,32.7,93,4.41,,,5.79,15.35,2.2,11.16,3.6,1.123,4.77,0.807,5.43,1.189,3.37,0.513,3.16,0.491,2.45,0.28,,0.52,
Superior,"GEOCHEMICAL DIVERSITY IN OCEANIC KOMATIITES AND BASALTS FROM THE LATE ARCHEAN WAWA GREENSTONE BELTS, SUPERIOR PROVINCE, CANADA: TRACE ELEMENT AND ND ISOTOPE EVIDENCE FOR A HETEROGENEOUS MANTLE",SC95-119,BASALT,48.8,-87.27,2500,3175,3850,2700,2725,2750,0.025889272,53.6,0.33,12.3,14.94,0.15,3.9,5.3,4.93,0.41,0.32,46,351,27,49,30,,,,,,66.2,244,13.32,,,14.44,40.2,5.63,28.75,8.67,2.519,10.73,1.802,12.28,2.601,7.35,1.116,7.12,1.085,6.32,0.76,,1.54,
Superior,"GEOCHEMICAL DIVERSITY IN OCEANIC KOMATIITES AND BASALTS FROM THE LATE ARCHEAN WAWA GREENSTONE BELTS, SUPERIOR PROVINCE, CANADA: TRACE ELEMENT AND ND ISOTOPE EVIDENCE FOR A HETEROGENEOUS MANTLE",SC95-126,BASALT,48.8,-87.27,2500,3175,3850,2700,2725,2750,0.017730618,50.32,0.33,14.44,14.1,0.19,5.04,8.53,3.51,0.21,0.21,44,307,153,48,40,,,,,,36.6,133,7.22,,,7.38,20.42,3.05,15.41,4.67,1.663,5.52,0.949,6.08,1.298,3.7,0.548,3.72,0.548,3.34,0.44,,0.62,
Superior,"GEOCHEMICAL DIVERSITY IN OCEANIC KOMATIITES AND BASALTS FROM THE LATE ARCHEAN WAWA GREENSTONE BELTS, SUPERIOR PROVINCE, CANADA: TRACE ELEMENT AND ND ISOTOPE EVIDENCE FOR A HETEROGENEOUS MANTLE",SC95-23,BASALT,48.8,-87.27,2500,3175,3850,2700,2725,2750,0.003608627,53.1,0.33,14.8,13.95,0.39,4.8,4.64,2.95,0.4,0.41,36,338,618,52,70,,,,,,36.12,206,14.57,,,16.47,44.63,5.87,29.93,7.27,2.1,7.09,1.09,6.85,1.37,3.77,0.56,3.45,0.49,4.8,0.48,,0.89,
Superior,"GEOCHEMICAL DIVERSITY IN OCEANIC KOMATIITES AND BASALTS FROM THE LATE ARCHEAN WAWA GREENSTONE BELTS, SUPERIOR PROVINCE, CANADA: TRACE ELEMENT AND ND ISOTOPE EVIDENCE FOR A HETEROGENEOUS MANTLE",SC95-38,BASALT,48.8,-87.27,2500,3175,3850,2700,2725,2750,0.002571464,50.8,0.33,13.4,13.68,0.2,6.03,9.22,2.24,0.21,0.12,41,313,20,60,52,,,,,,38.3,121,6.42,,,7.52,20.51,3.02,15.25,4.3,1.339,5.72,0.977,6.85,1.407,4.06,0.602,4.2,0.648,3.53,0.41,,0.56,
Superior,"GEOCHEMICAL DIVERSITY IN OCEANIC KOMATIITES AND BASALTS FROM THE LATE ARCHEAN WAWA GREENSTONE BELTS, SUPERIOR PROVINCE, CANADA: TRACE ELEMENT AND ND ISOTOPE EVIDENCE FOR A HETEROGENEOUS MANTLE",SC95-39,BASALT,48.8,-87.27,2500,3175,3850,2700,2725,2750,0.03914465,49.62,0.33,14.22,12.71,0.32,6.65,8.5,3.03,0.78,0.33,34,277,199,53,122,,,,,,21,132,8.13,,,12.65,32.98,4.76,21.6,4.86,1.762,4.69,0.685,4.07,0.824,2.21,0.312,1.97,0.312,3.1,0.44,,0.65,
Superior,"GEOCHEMICAL DIVERSITY IN OCEANIC KOMATIITES AND BASALTS FROM THE LATE ARCHEAN WAWA GREENSTONE BELTS, SUPERIOR PROVINCE, CANADA: TRACE ELEMENT AND ND ISOTOPE EVIDENCE FOR A HETEROGENEOUS MANTLE",SC95-53,BASALT,48.8,-87.27,2500,3175,3850,2700,2725,2750,0.044723183,49.11,0.33,10.55,12.51,0.22,16.3,8.17,1.01,0.08,0.05,40,252,1770,92,546,,,,,,15.1,49,1.81,,,2.37,6.37,0.91,4.63,1.66,0.748,2.29,0.384,2.58,0.582,1.65,0.249,1.48,0.177,1.37,0.14,,0.38,
Superior,"GEOCHEMICAL DIVERSITY IN OCEANIC KOMATIITES AND BASALTS FROM THE LATE ARCHEAN WAWA GREENSTONE BELTS, SUPERIOR PROVINCE, CANADA: TRACE ELEMENT AND ND ISOTOPE EVIDENCE FOR A HETEROGENEOUS MANTLE",SC95-54,BASALT,48.8,-87.27,2500,3175,3850,2700,2725,2750,0.049513858,48.1,0.33,11.3,10.98,0.2,9.57,11,1.79,0.1,0.05,47,294,1390,72,245,,,,,,15.9,38,1.82,,,2.66,6.79,0.98,5.58,1.8,0.619,2.43,0.433,2.9,0.629,1.71,0.268,1.5,0.227,1.07,0.07,,0.31,
Superior,"GEOCHEMICAL DIVERSITY IN OCEANIC KOMATIITES AND BASALTS FROM THE LATE ARCHEAN WAWA GREENSTONE BELTS, SUPERIOR PROVINCE, CANADA: TRACE ELEMENT AND ND ISOTOPE EVIDENCE FOR A HETEROGENEOUS MANTLE",SC95-7,BASALT,48.8,-87.27,2500,3175,3850,2700,2725,2750,0.056903064,51.41,0.33,11.38,10.53,0.19,13.3,8.86,1.95,0.54,0.04,42,262,1304,73,399,,,,,,15,41,1.68,,,2.2,5.8,0.87,4.53,1.5,0.86,1.99,0.36,2.49,0.51,1.51,0.23,1.39,0.2,1.18,0.11,,0.23,
Superior,"GEOCHEMICAL DIVERSITY IN OCEANIC KOMATIITES AND BASALTS FROM THE LATE ARCHEAN WAWA GREENSTONE BELTS, SUPERIOR PROVINCE, CANADA: TRACE ELEMENT AND ND ISOTOPE EVIDENCE FOR A HETEROGENEOUS MANTLE",SC95-81,BASALT,48.8,-87.27,2500,3175,3850,2700,2725,2750,0.079989031,48.35,0.33,16.05,12.01,0.21,8.82,9.12,2.8,0.3,0.07,55,401,293,46,118,,,,,,22.6,57,2.17,,,3.29,8.38,1.3,6.52,1.95,0.747,2.78,0.491,3.38,0.706,2.14,0.317,2.06,0.307,1.71,0.17,,0.5,
Superior,"GEOCHEMICAL DIVERSITY IN OCEANIC KOMATIITES AND BASALTS FROM THE LATE ARCHEAN WAWA GREENSTONE BELTS, SUPERIOR PROVINCE, CANADA: TRACE ELEMENT AND ND ISOTOPE EVIDENCE FOR A HETEROGENEOUS MANTLE",SC95-85,BASALT,48.8,-87.27,2500,3175,3850,2700,2725,2750,0.041366078,52.14,0.33,16.57,11.16,0.22,3.69,10.02,2.89,0.49,0.12,47,289,231,66,129,,,,,,24.2,69,2.06,,,3.52,9.26,1.53,8.3,2.86,0.987,3.88,0.661,4.45,0.985,2.83,0.443,2.74,0.433,1.84,0.14,,0.27,
Superior,"GEOCHEMICAL DIVERSITY IN OCEANIC KOMATIITES AND BASALTS FROM THE LATE ARCHEAN WAWA GREENSTONE BELTS, SUPERIOR PROVINCE, CANADA: TRACE ELEMENT AND ND ISOTOPE EVIDENCE FOR A HETEROGENEOUS MANTLE",SC96-8,BASALT,48.8,-87.27,2500,3175,3850,2700,2725,2750,0.015106559,47.08,0.33,10.8,14.22,0.23,15.4,8.17,0.95,0.63,0.09,30,234,1229,90,504,,,,,,21,66,4.03,,,5.01,13,1.86,9,2.73,0.93,3.3,0.57,3.67,0.83,2.38,0.36,2.21,0.36,1.89,0.24,,0.51,
Superior,"GEOCHEMICAL DIVERSITY IN OCEANIC KOMATIITES AND BASALTS FROM THE LATE ARCHEAN WAWA GREENSTONE BELTS, SUPERIOR PROVINCE, CANADA: TRACE ELEMENT AND ND ISOTOPE EVIDENCE FOR A HETEROGENEOUS MANTLE",SC97-5,BASALT,48.8,-87.27,2500,3175,3850,2700,2725,2750,0.002794203,46.04,0.33,13.33,15.69,0.23,9.44,8.12,2.14,0.6,0.41,26,231,341,66,338,,,,,,29.4,157,10.12,,,9.33,28.55,4.34,21.67,5.6,2.046,6.23,0.897,5.43,1.108,3.16,0.423,2.78,0.413,3.88,0.53,,0.4,
Superior,"GEOCHEMICAL DIVERSITY IN OCEANIC KOMATIITES AND BASALTS FROM THE LATE ARCHEAN WAWA GREENSTONE BELTS, SUPERIOR PROVINCE, CANADA: TRACE ELEMENT AND ND ISOTOPE EVIDENCE FOR A HETEROGENEOUS MANTLE",SC97-7,BASALT,48.8,-87.27,2500,3175,3850,2700,2725,2750,0.003027012,51.06,0.33,13.82,13.83,0.23,6.04,9.32,2.34,0.52,0.1,40,314,171,104,103,,,,,,27.4,89,4.15,,,4.49,14.43,2.37,11.85,3.24,0.995,4.29,0.697,4.91,1.031,3.09,0.458,3.16,0.486,2.48,0.27,,0.38,
Superior,"GEOCHEMICAL DIVERSITY IN OCEANIC KOMATIITES AND BASALTS FROM THE LATE ARCHEAN WAWA GREENSTONE BELTS, SUPERIOR PROVINCE, CANADA: TRACE ELEMENT AND ND ISOTOPE EVIDENCE FOR A HETEROGENEOUS MANTLE",WR95-12,BASALT,48.5,-85.5,2500,3175,3850,2700,2725,2750,0.394520521,51.21,0.33,15.41,10.43,0.18,6.41,12.83,1,0.59,0.05,61,327,375,46,144,,,,,,18.1,38,1.87,,,2.81,7.38,1.08,4.14,1.41,0.688,2.56,0.439,3.16,0.688,2,0.306,2.09,0.313,1.29,0.28,,0.43,
Superior,"GEOCHEMICAL DIVERSITY IN OCEANIC KOMATIITES AND BASALTS FROM THE LATE ARCHEAN WAWA GREENSTONE BELTS, SUPERIOR PROVINCE, CANADA: TRACE ELEMENT AND ND ISOTOPE EVIDENCE FOR A HETEROGENEOUS MANTLE",WR95-13,BASALT,48.5,-85.5,2500,3175,3850,2700,2725,2750,0.038494546,50.68,0.33,13.08,15.02,0.15,4.99,10.3,1.81,0.71,0.1,52,411,261,55,52,,,,,,30.9,79,3.46,,,4.18,12.27,1.91,9.62,3.12,1.251,4.67,0.818,5.29,1.189,3.55,0.533,3.49,0.54,2.55,0.2,,0.53,
Superior,"GEOCHEMICAL EVOLUTION IN THE BLAKE RIVER GROUP, ABITIBI GREENSTONE BELT, SUPERIOR PROVINCE",603,THOLEIITE,48.28,-80.23,2500,3175,3850,2695,2699.5,2704,0.998621464,50.15,0.33,14.74,9.67,0.13,8.46,10.68,1.87,0.51,0.04,33,,,,,,,,,,,,,,,2.3,6.8,,,1.9,0.68,,0.5,,,,,2.1,0.34,1.4,,,0.4,
Superior,"GEOCHEMICAL EVOLUTION IN THE BLAKE RIVER GROUP, ABITIBI GREENSTONE BELT, SUPERIOR PROVINCE",596,BASALT,48.28,-80.23,2500,3175,3850,2695,2699.5,2704,0.997453749,52.97,0.33,14.17,9.67,0.14,8.43,4.39,3.74,0.45,0.17,28,,,,,,,,,,,,,,,10,20.7,,,2.7,0.95,,0.59,,,,,2,0.31,2.2,,,0.9,
Superior,"GEOCHEMICAL EVOLUTION IN THE BLAKE RIVER GROUP, ABITIBI GREENSTONE BELT, SUPERIOR PROVINCE",594,BASALT,48.28,-80.23,2500,3175,3850,2695,2699.5,2704,0.993042588,50.39,0.33,13.77,11.13,0.2,7.34,9,2.8,0.76,0.07,37,,,,,,,,,,,,,,,8.8,19.8,,,2.3,0.78,,0.45,,,,,1.4,0.21,1.9,,,0.3,
Superior,"GEOCHEMICAL EVOLUTION IN THE BLAKE RIVER GROUP, ABITIBI GREENSTONE BELT, SUPERIOR PROVINCE",592,BASALT,48.28,-80.23,2500,3175,3850,2695,2699.5,2704,0.994825363,47.49,0.33,15.43,9.61,0.18,6.63,12.43,2.15,0.16,0.43,25,,,,,,,,,,,,,,,24.9,57,,,6.2,1.8,,0.98,,,,,2.6,0.4,3.1,,,2.5,
Superior,"GEOCHEMICAL EVOLUTION IN THE BLAKE RIVER GROUP, ABITIBI GREENSTONE BELT, SUPERIOR PROVINCE",593,BASALT,48.28,-80.23,2500,3175,3850,2695,2699.5,2704,0.994917154,50.29,0.33,16.9,9.76,0.15,7.29,4.15,4.41,0.09,0.2,34,,,,,,,,,,,,,,,13.1,31.7,,,4.3,1.3,,0.77,,,,,2.5,0.37,2.9,,,1.1,
Superior,"GEOCHEMICAL EVOLUTION IN THE BLAKE RIVER GROUP, ABITIBI GREENSTONE BELT, SUPERIOR PROVINCE",595,BASALT,48.28,-80.23,2500,3175,3850,2695,2699.5,2704,0.998571396,51.53,0.33,17.75,9.13,0.14,5.26,3.79,5.97,0.48,0.17,21,,,,,,,,,,,,,,,10.2,24,,,3.6,1,,0.56,,,,,1.8,0.26,2.5,,,1.3,
Superior,"GEOCHEMICAL EVOLUTION IN THE BLAKE RIVER GROUP, ABITIBI GREENSTONE BELT, SUPERIOR PROVINCE",598,BASALT,48.28,-80.23,2500,3175,3850,2695,2699.5,2704,0.995847523,53.7,0.33,16.56,6.52,0.15,4.93,8.42,4.55,0.06,0.2,38,,,,,,,,,,,,,,,11.5,25.8,,,3.6,1.2,,0.7,,,,,2.3,0.33,,,,,
Superior,"GEOCHEMICAL EVOLUTION IN THE BLAKE RIVER GROUP, ABITIBI GREENSTONE BELT, SUPERIOR PROVINCE",604,THOLEIITE,48.28,-80.23,2500,3175,3850,2695,2699.5,2704,0.993966699,53.12,0.33,13.31,13.37,0.25,3.6,6.24,3.08,0.73,0.34,36,,,,,,,,,,,,,,,5.6,18.5,,,4.8,1.9,,1.2,,,,,4.2,0.64,3.1,,,0.6,
Superior,"GEOCHEMICAL EVOLUTION IN THE BLAKE RIVER GROUP, ABITIBI GREENSTONE BELT, SUPERIOR PROVINCE",597,BASALT,48.28,-80.23,2500,3175,3850,2695,2699.5,2704,0.997167408,53.62,0.33,18.76,7.45,0.13,3.42,7.77,2.89,0.22,0.19,28,,,,,,,,,,,,,,,11.7,28.1,,,4.1,1.4,,0.82,,,,,2.8,0.43,3,,,0.9,
Superior,GEOCHEMICAL EVOLUTION OF THE MINTO BLOCK: A 2.7 GA CONTINENTAL MAGMATIC ARC BUILT ON THE SUPERIOR PROTO-CRATON,A-91-187,NOT-GIVEN,58.1167,-73.0069,2500,3175,3850,2663,2708,2753,0.934358835,53.25,0.33,14.76,13.56,0.18,3.27,6.66,3.67,1.18,0.36,,300,11,,25,10,120,,28,500,22,140,,,500,32,58,,30.795,5.957,1.7,5.4,,4.6,,2.3,,2,,,,,,
Superior,"GEOCHEMICAL SYSTEMATICS OF 2.7 GA KINOJEVIS GROUP (ABITIBI), AND MANITOUWADGE AND WINSTON LAKE (WAWA) FE-RICH BASALT-RHYOLITE ASSOCIATIONS: BACKARC RIFT OCEANIC CRUST?",A803.4,BASALT,48.4,-81.3,2700,2700,2700,2701,2701.5,2702,0.122631691,50.49,0.33,14.47,14.18,0.19,4.45,8.14,4.5,0.06,0.16,47,461,,,,,,,2.12,144,32,108,6.44,0.32,47,7.86,19.67,2.93,14.81,4.13,1.41,5.43,0.86,6.01,1.27,3.9,0.61,3.8,0.59,2.97,0.37,0.87,1.03,0.22
Superior,"GEOCHEMICAL SYSTEMATICS OF 2.7 GA KINOJEVIS GROUP (ABITIBI), AND MANITOUWADGE AND WINSTON LAKE (WAWA) FE-RICH BASALT-RHYOLITE ASSOCIATIONS: BACKARC RIFT OCEANIC CRUST?",A804.6,BASALT,48.4,-81.3,2700,2700,2700,2701,2701.5,2702,0.496831954,53.51,0.33,12.29,14.98,0.31,3.58,8.13,2.55,0.2,0.3,46,494,,,,,,,3.2,169,25,94,5.44,0.21,81,4.35,12.15,1.89,10.22,3.3,1.63,4.36,0.72,4.91,1.04,3.13,0.46,2.97,0.43,2.56,0.29,0.95,0.62,0.09
Superior,"GEOCHEMICAL SYSTEMATICS OF 2.7 GA KINOJEVIS GROUP (ABITIBI), AND MANITOUWADGE AND WINSTON LAKE (WAWA) FE-RICH BASALT-RHYOLITE ASSOCIATIONS: BACKARC RIFT OCEANIC CRUST?",A806.4,BASALT,48.4,-81.3,2700,2700,2700,2701,2701.5,2702,0.003221792,48.52,0.33,16.07,10.94,0.18,7.87,12.67,1.47,0.02,0.08,39,285,,,,,,,,150,12,26,2.46,0.1,8,2.17,6.05,0.96,5.22,1.63,0.74,2.2,0.35,2.38,0.48,1.5,0.23,1.33,0.2,0.82,0.14,0.46,0.3,0.03
Superior,"GEOCHEMICAL SYSTEMATICS OF 2.7 GA KINOJEVIS GROUP (ABITIBI), AND MANITOUWADGE AND WINSTON LAKE (WAWA) FE-RICH BASALT-RHYOLITE ASSOCIATIONS: BACKARC RIFT OCEANIC CRUST?",KJ1,BASALT,48.4,-81.3,2700,2700,2700,2701,2701.5,2702,0.478564501,49.68,0.33,13.78,13.89,0.23,6.92,9.68,2.35,0.21,0.13,43,414,,,,,,,5.14,99,24,74,3.64,1.23,42,4.14,11.39,1.85,10.05,3.02,1.11,4.07,0.7,4.88,1.01,3.17,0.48,2.96,0.47,2.16,0.2,0.49,0.7,0.09
Superior,"GEOCHEMICAL SYSTEMATICS OF 2.7 GA KINOJEVIS GROUP (ABITIBI), AND MANITOUWADGE AND WINSTON LAKE (WAWA) FE-RICH BASALT-RHYOLITE ASSOCIATIONS: BACKARC RIFT OCEANIC CRUST?",KJ2,BASALT,48.4,-81.3,2700,2700,2700,2701,2701.5,2702,0.003581876,51.13,0.33,13.47,14.98,0.2,5.8,8.17,2.45,0.04,0.12,45,449,,,,,,,3.29,127,23,95,4.4,0.44,38,4.91,13.08,2.05,11.1,3.2,1.07,4.55,0.66,4.66,0.98,2.89,0.45,2.9,0.44,3.4,0.23,0.81,1.01,0.12
Superior,"GEOCHEMICAL SYSTEMATICS OF 2.7 GA KINOJEVIS GROUP (ABITIBI), AND MANITOUWADGE AND WINSTON LAKE (WAWA) FE-RICH BASALT-RHYOLITE ASSOCIATIONS: BACKARC RIFT OCEANIC CRUST?",KJ3,BASALT,48.4,-81.3,2700,2700,2700,2701,2701.5,2702,0.125559509,52.14,0.33,13.06,14.6,0.21,4.89,6.84,3.34,0.59,0.22,44,474,,,,,,,12.29,103,28,90,4.48,0.31,200,5.34,14.09,2.21,12,3.69,1.43,5.03,0.82,5.72,1.2,3.65,0.54,3.42,0.5,2.46,0.26,0.82,0.86,0.11
Superior,"GEOCHEMICAL SYSTEMATICS OF 2.7 GA KINOJEVIS GROUP (ABITIBI), AND MANITOUWADGE AND WINSTON LAKE (WAWA) FE-RICH BASALT-RHYOLITE ASSOCIATIONS: BACKARC RIFT OCEANIC CRUST?",KJ6,BASALT,48.4,-81.3,2700,2700,2700,2701,2701.5,2702,0.440491945,49.68,0.33,11.96,16.1,0.29,5.9,7.36,3.76,0.25,0.29,45,520,,,,,,,4.09,60,32,116,4.83,0.72,113,4.86,13.55,2.26,12.6,4.15,1.47,5.39,0.89,6.37,1.32,4.12,0.6,3.89,0.6,2.97,0.27,0.59,0.9,0.11
Superior,"GEOCHEMICAL SYSTEMATICS OF 2.7 GA KINOJEVIS GROUP (ABITIBI), AND MANITOUWADGE AND WINSTON LAKE (WAWA) FE-RICH BASALT-RHYOLITE ASSOCIATIONS: BACKARC RIFT OCEANIC CRUST?",KJ7,BASALT,48.4,-81.3,2700,2700,2700,2701,2701.5,2702,0.161507949,52.59,0.33,13.25,14.03,0.2,4.93,7.23,3.84,0.12,0.18,43,432,,,,,,,4.09,52,45,135,7.6,1.02,24,7.4,21.19,3.4,18.25,5.69,1.68,7.57,1.29,9,1.87,5.8,0.89,5.65,0.85,4.09,0.42,0.36,1.28,0.2
Superior,"GEOCHEMICAL SYSTEMATICS OF 2.7 GA KINOJEVIS GROUP (ABITIBI), AND MANITOUWADGE AND WINSTON LAKE (WAWA) FE-RICH BASALT-RHYOLITE ASSOCIATIONS: BACKARC RIFT OCEANIC CRUST?",KJ7A,BASALT,48.4,-81.3,2700,2700,2700,2701,2701.5,2702,0.236211598,47.05,0.33,14.21,15.85,0.3,6.32,10.71,1.52,0.29,0.16,37,407,,,,,,,4.13,122,41,91,6.12,0.21,203,6.74,19.02,3.09,16.91,5.17,1.68,6.86,1.13,7.93,1.63,5.04,0.75,4.87,0.71,3.2,0.38,0.85,1.12,0.17
Superior,"GEOCHEMICAL SYSTEMATICS OF 2.7 GA KINOJEVIS GROUP (ABITIBI), AND MANITOUWADGE AND WINSTON LAKE (WAWA) FE-RICH BASALT-RHYOLITE ASSOCIATIONS: BACKARC RIFT OCEANIC CRUST?",KJ8,BASALT,48.4,-81.3,2700,2700,2700,2701,2701.5,2702,0.020237958,49.64,0.33,15.5,12.18,0.22,7.71,11.03,1.19,0.14,0.06,45,357,,,,,,,3.13,113,13,36,1.73,0.31,42,1.76,5.05,0.85,4.52,1.54,0.58,2.13,0.36,2.69,0.56,1.7,0.26,1.68,0.27,1.77,0.1,0.38,0.48,0.03
Yilgarn,"GEOCHEMICAL SYSTEMATICS OF BASALTS OF THE LOWER BASALT UNIT, 2.7 GA KAMBALDA SEQUENCE, YILGARN CRATON, AUSTRALIA: PLUME IMPINGEMENT AT A RIFTED CRATON MARGIN",118-6,BASALT,-28,121,2700,2700,2700,2692,2703.5,2715,0.085041702,49.79,0.33,13.8,12.47,0.23,7.12,11.46,1.31,0.13,0.07,44,291,233,67,110,112,103,,1.4,70.2,20,44,2.37,,10.4,2.39,6.79,1.07,5.62,1.88,0.75,2.69,0.47,3.12,0.73,2.02,0.31,2,0.3,1.42,,,0.2,
Yilgarn,"GEOCHEMICAL SYSTEMATICS OF BASALTS OF THE LOWER BASALT UNIT, 2.7 GA KAMBALDA SEQUENCE, YILGARN CRATON, AUSTRALIA: PLUME IMPINGEMENT AT A RIFTED CRATON MARGIN",71-1,BASALT,-28,121,2700,2700,2700,2692,2703.5,2715,0.02265981,51,0.33,13.3,13.95,0.27,6.16,9.88,2,0.23,0.09,43,315,84,72,78,24,149,,4.5,80.1,24,58,2.99,,17.9,3.28,8.92,1.35,7.29,2.31,0.9,3.21,0.58,3.98,0.89,2.5,0.39,2.59,0.4,1.87,,,0.27,
Yilgarn,"GEOCHEMICAL SYSTEMATICS OF BASALTS OF THE LOWER BASALT UNIT, 2.7 GA KAMBALDA SEQUENCE, YILGARN CRATON, AUSTRALIA: PLUME IMPINGEMENT AT A RIFTED CRATON MARGIN",222-1,BASALT,-28,121,2700,2700,2700,2692,2703.5,2715,0.527490675,52.16,0.33,14.37,10.02,0.2,7.13,11.16,1.86,0.1,0.06,47,271,292,76,75,75,86,,1.1,74.1,19,44,2.33,,34.8,2.57,6.91,1.05,5.45,1.71,0.63,2.47,0.43,2.92,0.64,1.79,0.28,1.89,0.28,1.37,,,0.23,
Yilgarn,"GEOCHEMICAL SYSTEMATICS OF BASALTS OF THE LOWER BASALT UNIT, 2.7 GA KAMBALDA SEQUENCE, YILGARN CRATON, AUSTRALIA: PLUME IMPINGEMENT AT A RIFTED CRATON MARGIN",447-8,BASALT,-28,121,2700,2700,2700,2692,2703.5,2715,0.001795136,48.05,0.33,15.85,7.64,0.19,4.02,10.78,2.78,0.05,0.08,36,290,358,63,225,110,80,,1.1,117.4,21,52,2.72,,33.9,2.68,7.64,1.2,6.29,2.09,0.83,2.94,0.5,3.38,0.71,2,0.31,1.94,0.29,1.6,,,0.21,
Yilgarn,"GEOCHEMICAL SYSTEMATICS OF BASALTS OF THE LOWER BASALT UNIT, 2.7 GA KAMBALDA SEQUENCE, YILGARN CRATON, AUSTRALIA: PLUME IMPINGEMENT AT A RIFTED CRATON MARGIN",1887-6,BASALT,-28,121,2700,2700,2700,2692,2703.5,2715,0.011593438,52.79,0.33,14.39,9.58,0.19,7.09,10.42,2.14,0.09,0.07,49,297,262,68,67,111,86,,2.4,101.8,19,47,2.39,,10.2,2.93,7.95,1.26,5.82,1.95,0.73,2.56,0.45,3.13,0.67,2.05,0.29,2.04,0.33,1.49,,,0.23,
Yilgarn,"GEOCHEMICAL SYSTEMATICS OF BASALTS OF THE LOWER BASALT UNIT, 2.7 GA KAMBALDA SEQUENCE, YILGARN CRATON, AUSTRALIA: PLUME IMPINGEMENT AT A RIFTED CRATON MARGIN",259-6,BASALT,-28,121,2700,2700,2700,2692,2703.5,2715,0.001556124,45.6,0.33,14.6,10.53,0.17,6.99,8.85,1.33,0.04,0.07,39,281,362,57,174,100,113,,1.3,107,21,48,2.51,,13.7,2.54,7.36,1.15,6.11,2.01,0.83,2.79,0.51,3.41,0.72,2.06,0.32,2.04,0.31,1.45,,,0.19,
