NA2O(WT%),MGO(WT%),AL2O3(WT%),SIO2(WT%),P2O5(WT%),K2O(WT%),CAO(WT%),TIO2(WT%),MNO(WT%),FEOT(WT%),RB(PPM),V(PPM),CR(PPM),CO(PPM),NI(PPM),BA(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),TH(PPM),TECTONIC SETTING,longitude,latitude,AGE,PUBLICATION_YEAR
3.08,7.09,16.21,51.29,0.17,0.17,11.14,1.48,0.17,8.92,1.64,270.0,,,103.0,31.0,143.0,41.0,125.0,1.0,,,,11.61,3.75,,,,,,,,,,,,BACK-ARC_BASIN,144.915,17.785,,1990
2.82,7.56,15.6,51.2,0.12,0.21,10.6,1.22,0.15,,1.93,217.0,304.0,42.8,136.0,41.6,155.0,28.4,99.1,6.03,5.29,13.3,2.02,10.4,3.32,1.16,4.02,0.7,4.91,1.09,2.93,2.8,0.414,2.53,0.38,0.59,BACK-ARC_BASIN,115.047,12.9196,,2018
2.48,7.33,14.08,47.96,0.18,0.38,11.65,0.98,0.17,10.85,2.52,245.0,485.0,,74.0,25.8,188.0,,62.0,,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,144.842,17.168,MIOCENE,1972; 1977
1.99,7.35,17.9,48.8,0.12,0.24,12.3,0.9,0.18,,,327.0,157.0,,69.0,29.0,238.0,18.0,48.0,,3.02,7.7,,5.7,1.8,0.72,,,2.5,,1.5,1.5,,,,,BACK-ARC_BASIN,139.655,30.797,,1990
1.55,7.2,16.5,45.31,0.28,0.6,14.17,0.89,0.62,,10.8,440.0,93.0,80.0,84.0,65.1,432.0,19.0,43.0,,,17.3,,13.1,3.42,1.03,3.37,,3.2,,1.92,1.64,0.25,,,,BACK-ARC_BASIN,138.986,31.5308,,1989
2.34814305205169,5.81079396821243,14.6611346995367,52.5497678203184,0.179207099661504,0.883957769002365,11.1024307472479,0.85482395948334,0.233252557869797,11.3764883266159,22.733865297715,383.900957003616,7.47455340593557,41.2299754186618,16.6832218344794,576.315108271416,240.23710145934,20.9214679437643,51.4395569784473,0.88492129209388,7.93193714091626,16.6802007039899,2.39845442158515,11.3468914811622,3.18351850495828,0.996637572112097,3.56686252117106,0.57288426110139,3.73480327095399,0.767733071515558,2.24850461276913,2.2462842348102,0.327989890161829,1.43515871348126,0.0538521678159791,1.31186057041579,BACK-ARC_BASIN,179.286,-34.675,,2021
1.71,8.21,16.06,51.1,0.06,0.12,12.71,0.67,0.15,7.55,3.0,288.0,343.0,37.0,85.0,,123.0,,,,4.9,12.7,1.9,10.6,3.1,1.19,3.61,,4.02,0.89,2.35,2.19,0.34,,,,BACK-ARC_BASIN,-176.133,-20.057,CENOZOIC,1985; 1994
2.1,6.45,15.79,51.89,0.1,0.17,11.8,0.93,0.18,9.01,2.98,,191.0,,102.0,17.34,110.08,11.48,42.6,0.48,1.51,4.91,0.8,4.33,1.35,0.53,,0.34,2.37,0.53,1.55,1.53,,,0.04,0.24,BACK-ARC_BASIN,-176.067,-20.163,,2008
2.17700945296199,7.76829061319384,15.0146828372682,50.466563380254,0.0683344051446945,0.0725330832196453,12.0108337421522,1.14145611430368,0.21076953272439,10.9013814737208,1.26356994237791,337.979826496295,341.478491881967,50.6864434089134,110.209897573592,11.3430064607854,83.7803280591765,26.0406344922286,56.8931799844103,1.48112504537939,2.02171781141645,6.12847256833216,1.18021464269923,6.60566302841156,2.49346100274603,0.991628369742359,3.62951696849592,0.687756556269604,4.8534650339941,1.08704318652001,3.23464690466217,3.2747050227099,0.459309364723902,1.6679794016216,0.0899512740590782,0.118158283823588,BACK-ARC_BASIN,-176.36,-17.94,,2012; 2018
2.4,7.23,16.26,48.0,0.1,0.16,12.02,0.93,0.56,,3.5,180.0,315.0,52.0,106.0,77.0,178.0,,,,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,173.764,-17.585,,1991
