NA2O(WT%),MGO(WT%),AL2O3(WT%),SIO2(WT%),P2O5(WT%),K2O(WT%),CAO(WT%),TIO2(WT%),MNO(WT%),FEOT(WT%),RB(PPM),V(PPM),CR(PPM),CO(PPM),NI(PPM),BA(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),TH(PPM),TECTONIC SETTING,longitude,latitude,AGE,PUBLICATION_YEAR
3.45,4.57,16.59,52.52,0.27,1.17,8.09,1.12,0.15,7.34,105.0,,105.0,26.0,42.0,363.0,426.0,23.0,177.0,14.0,20.6,46.9,,,4.9,1.4,,0.9,,,,1.8,0.5,4.0,0.8,3.7,Continental arc,133.17,35.58,MIOCENE,1994
3.16,5.92,17.01,52.16,0.25,1.2,8.95,1.15,0.2,,15.0,250.0,56.0,32.0,30.0,442.0,345.0,,,,6.5,16.2,,11.2,3.38,1.06,4.3,0.71,,,,2.76,0.4,2.6,0.13,0.51,Continental arc,160.63,56.05,,2000
2.36,5.61,17.91,52.88,0.095,0.39,9.7,0.75,0.166,9.09,10.5,240.0,63.0,,32.0,129.0,297.0,15.0,42.0,1.13,3.29,8.42,1.22,6.01,1.8,0.59,1.95,0.41,2.24,0.48,1.49,1.63,0.25,1.23,0.09,0.9,Continental arc,140.912,40.648,,2009
2.95,4.81,17.53,52.4,0.31,1.78,9.55,0.95,0.14,,52.0,219.0,52.0,,24.0,522.0,524.0,28.0,147.0,14.0,,,,,,,,,,,,,,,,,Continental arc,15.21,38.79,PLEISTOCENE,1980; 1988; 1989
1.52,4.944,18.848,52.554,0.087,0.132,7.642,0.854,0.156,,2.767,271.103,113.263,28.128,33.084,79.453,325.518,15.55,37.329,1.573,,,,,,,,,,,,,,,,,Continental arc,141.003,39.842,,2017
3.26,6.0,15.22,48.91,0.95,3.33,9.62,1.99,0.18,,87.0,142.0,180.0,34.0,138.0,1232.0,1036.0,19.0,300.0,75.0,65.0,124.0,13.0,51.0,9.0,2.75,7.33,0.98,4.29,0.7,1.95,1.23,0.17,6.42,4.3,6.94,Continental arc,131.5,43.67,MIOCENE,2008
2.74,8.43,15.34,52.82,0.16,0.72,9.73,0.97,0.16,8.93,9.42,246.0,322.0,,87.0,241.0,286.0,17.67,74.44,1.68,4.86,12.68,1.94,9.64,2.68,0.89,3.04,0.52,3.28,0.68,1.82,1.89,0.29,2.0,0.17,0.47,Continental arc,160.63,56.05,,2013
2.12,6.17,17.17,50.63,0.1,0.55,11.34,0.83,0.17,,15.0,256.0,55.0,,14.0,201.0,318.0,19.0,82.0,2.0,6.33,15.94,,10.45,2.83,0.97,,0.5,,,,1.87,0.3,1.87,0.17,1.64,Continental arc,176.6,-39.003,,1993
5.27,6.78,15.68,52.06,0.28,0.37,6.75,1.34,0.13,8.21,9.0,161.0,508.0,35.3,111.0,891.0,280.0,21.0,136.0,17.0,12.0,28.3,,,3.4,1.4,,,,,,1.5,0.24,3.2,0.7,1.8,Continental arc,137.0,35.75,JURASSIC,
2.74,7.45,16.79,51.58,0.31,0.75,8.46,1.15,0.16,9.4,15.2,219.0,354.0,39.0,117.0,198.0,398.0,21.8,112.0,5.6,12.5,26.3,4.38,19.3,4.47,1.61,4.39,0.8,4.8,0.84,2.36,2.17,0.32,2.96,0.35,1.58,Continental arc,137.5,35.75,PLEISTOCENE,1999; 2002
2.51,7.23,14.19,50.93,0.12,2.06,11.38,0.67,0.18,9.63,55.0,229.0,161.0,29.7,43.0,625.0,1196.0,15.0,88.0,6.0,27.6,46.0,0.0,21.0,4.39,1.24,0.0,0.5,0.0,0.0,0.0,1.54,0.21,1.8,0.4,5.9,Continental arc,14.962,38.404,,2020
2.89,8.15,14.4,51.8,0.29,1.4,9.99,1.05,0.16,8.56,,310.0,256.0,,62.0,433.0,521.0,16.1,72.1,4.3,,,,,,,,,,,,,,,,,Continental arc,161.4,56.65,,1996
